Var2_clusterID	Var1_clusterID	Var2	Var1	corr_coeff	pval	Var1_central_node	Var2_central_node
0	253	Collinsella_sp002232035	Bacteroides_stercoris	-0.2254	0.2458	TLL60_bin.72.fasta	TLL10_bin.21.fasta
0	284	Collinsella_sp002232035	Bifidobacterium_longum	-0.0077	0.968	TLL98_bin.70.fasta	TLL10_bin.21.fasta
0	614	Collinsella_sp002232035	Collinsella_SGB_14400	0.8652	0.001	TLL12_bin.19.fasta	TLL10_bin.21.fasta
0	541	Collinsella_sp002232035	Blautia_SGB_4795	-0.4244	0.032	TLL101_bin.55.fasta	TLL10_bin.21.fasta
0	304	Collinsella_sp002232035	Clostridium_M_sp000431375	-0.1846	0.3477	TLL85_bin.41.fasta	TLL10_bin.21.fasta
0	195	Collinsella_sp002232035	Bifidobacterium_sp002742445	0.1294	0.5005	TLL23_bin.45.fasta	TLL10_bin.21.fasta
0	154	Collinsella_sp002232035	Anaerostipes_hadrus	-0.1434	0.4695	TLL43_bin.39.fasta	TLL10_bin.21.fasta
0	162	Collinsella_sp002232035	Collinsella_SGB_14425	0.8912	0.001	TLL72_bin.74.fasta	TLL10_bin.21.fasta
0	144	Collinsella_sp002232035	Collinsella_aerofaciens_E	0.9552	0.001	TLL57_bin.37.fasta	TLL10_bin.21.fasta
0	25	Collinsella_sp002232035	Blautia_A_sp900120195	0.0051	0.983	TLL103_bin.41.fasta	TLL10_bin.21.fasta
0	90	Collinsella_sp002232035	CAG-41_sp900066215	-0.3041	0.1119	TLL89_bin.92.fasta	TLL10_bin.21.fasta
0	50	Collinsella_sp002232035	Blautia_A_massiliensis	0.3404	0.0759	TLL15_bin.16.fasta	TLL10_bin.21.fasta
0	22	Collinsella_sp002232035	Agathobaculum_butyriciproducens	0.2529	0.1938	TLL73_bin.62.fasta	TLL10_bin.21.fasta
0	433	Collinsella_sp002232035	Bacteroides_caccae	-0.3984	0.036	TLL06_bin.48.fasta	TLL10_bin.21.fasta
