	Subject	Database	Classified
288	fam1664-F1-V01	Kraken standard	77.0
289	fam0504-F1-V06	Kraken standard	70.57
290	fam0525-F1-V07	Kraken standard	62.53
291	fam0509-F2-V05	Kraken standard	52.98
292	fam0511-F2-V08	Kraken standard	69.95
293	fam0507-F1-V08	Kraken standard	42.35
294	fam0511-F2-V04	Kraken standard	67.34
295	fam0509-F2-V09	Kraken standard	40.83
296	fam0507-F1-V04	Kraken standard	30.870000000000005
297	fam0509-F1-V00	Kraken standard	57.05
298	fam0504-F2-V03	Kraken standard	55.49
299	fam0506-F1-V01	Kraken standard	51.23
300	fam0511-F1-V01	Kraken standard	72.18
301	fam0507-F2-V01	Kraken standard	60.31
302	fam0511-F1-V03	Kraken standard	74.25
303	fam0507-F2-V03	Kraken standard	75.74
304	fam0509-F1-V10	Kraken standard	64.89
305	fam0528-F1-V03	Kraken standard	57.62
306	fam0504-F2-V01	Kraken standard	62.48
307	fam0507-F2-V11	Kraken standard	73.16
308	fam0509-F1-V02	Kraken standard	63.95
309	fam0506-F1-V11	Kraken standard	56.76
310	fam0502-F1-V03	Kraken standard	65.86
311	fam0502-F1-V11	Kraken standard	70.51
312	fam0504-F3-V02	Kraken standard	75.7
313	fam1665-F1-V06	Kraken standard	18.760000000000005
314	fam1664-F1-V03	Kraken standard	85.25
315	fam0504-F1-V08	Kraken standard	58.86
316	fam0525-F1-V09	Kraken standard	62.03
317	fam0511-F2-V06	Kraken standard	55.55
318	fam0507-F1-V06	Kraken standard	54.77
319	fam0457-F1-V06	Kraken standard	38.0
320	fam0525-F1-V05	Kraken standard	57.71
321	fam0509-F2-V07	Kraken standard	49.21
322	fam0504-F1-V04	Kraken standard	74.98
323	fam0504-F3-V06	Kraken standard	64.24000000000001
324	fam1665-F1-V02	Kraken standard	20.510000000000005
325	fam0502-F1-V07	Kraken standard	66.06
326	fam0528-F1-V07	Kraken standard	48.23
327	fam0504-F2-V05	Kraken standard	62.92
328	fam0509-F1-V06	Kraken standard	65.07
329	fam0457-F2-V07	Kraken standard	60.2
330	fam0507-F2-V07	Kraken standard	66.02000000000001
331	fam0511-F1-V07	Kraken standard	81.26
332	fam0506-F1-V07	Kraken standard	51.46
333	fam0504-F2-V09	Kraken standard	72.65
334	fam0507-F1-V10	Kraken standard	44.47
335	fam0504-F1-V00	Kraken standard	56.69
336	fam0511-F2-V10	Kraken standard	64.53999999999999
337	fam0507-F1-V02	Kraken standard	35.33
338	fam0511-F2-V02	Kraken standard	66.93
339	fam1664-F1-V07	Kraken standard	77.92
340	fam0507-F1-V00	Kraken standard	33.260000000000005
341	fam0504-F1-V10	Kraken standard	69.95
342	fam0504-F1-V02	Kraken standard	78.87
343	fam0525-F1-V03	Kraken standard	50.04
344	fam1664-F1-V05	Kraken standard	70.61
345	fam0504-F3-V08	Kraken standard	66.14
346	fam0502-F1-V05	Kraken standard	77.5
347	fam0502-F1-V09	Kraken standard	60.23
348	fam0504-F3-V04	Kraken standard	88.78
349	fam0506-F1-V05	Kraken standard	56.99
350	fam0528-F1-V09	Kraken standard	66.97
351	fam0507-F2-V05	Kraken standard	66.28999999999999
352	fam0457-F2-V05	Kraken standard	63.65
353	fam0509-F1-V08	Kraken standard	57.27
354	fam0511-F1-V05	Kraken standard	71.64
355	fam0507-F2-V09	Kraken standard	60.23
356	fam0511-F1-V09	Kraken standard	78.53
357	fam0506-F1-V09	Kraken standard	58.27
358	fam0528-F1-V05	Kraken standard	51.06
359	fam0504-F2-V07	Kraken standard	71.83
360	fam0504-F3-V01	Kraken standard	72.38
361	fam0502-F1-V00	Kraken standard	68.13
362	fam0504-F2-V02	Kraken standard	57.15
363	fam0509-F1-V01	Kraken standard	47.74
364	fam0504-F2-V10	Kraken standard	63.17
365	fam0507-F1-V09	Kraken standard	46.55
366	fam0525-F1-V06	Kraken standard	87.06
