	name	genus	species	Size	#_contigs	Contig_N50	Longest_contig	Completness	Contamination	CheckMStatus	RNAPass	MIMAG	SLCID	eigen_index	eigen_weight	SLCCat
0	SPMP01_bin.12	Mitsuokella	Mitsuokella multacida	1850613.0	185.0	12261.0	43691.0	86.99	0.89	MEDIUM	False	MEDIUM	47	6	0.2434432047464438	Isolate
1	SPMP01_bin.13	Enterococcus_A	Enterococcus_A avium	4163966.0	32.0	571188.0	621046.0	98.0	4.24	HIGH	True	HIGH	420	0	0.7071067811865476	Isolate
2	SPMP01_bin.16	Olsenella_E	Olsenella_E sp003609875	1811486.0	43.0	56433.0	145834.0	92.13	0.81	HIGH	False	MEDIUM	111	3	0.2586075978493513	Uncultivated
3	SPMP01_bin.17	Megasphaera	Megasphaera sp000417505	1824876.0	144.0	17610.0	60409.0	78.97	0.0	MEDIUM	False	MEDIUM	220	28	0.1477519772057803	Isolate
4	SPMP01_bin.20	Akkermansia	Akkermansia muciniphila	2459866.0	27.0	148543.0	389550.0	86.13	0.85	MEDIUM	True	MEDIUM	260	10	0.2580051907793021	Isolate
5	SPMP01_bin.23	Mediterraneibacter		3178694.0	150.0	31042.0	136837.0	91.67	0.58	HIGH	True	HIGH	423	0		Uncultivated
6	SPMP01_bin.25	RUG013		1917792.0	87.0	37993.0	89278.0	79.08	0.4	MEDIUM	False	MEDIUM	440	0	0.5010326907087324	Novel
7	SPMP01_bin.27	Megamonas	Megamonas funiformis	2179357.0	45.0	132981.0	435040.0	89.26	1.27	MEDIUM	True	MEDIUM	131	8	0.159139964770931	Isolate
8	SPMP01_bin.29	Catenibacterium	Catenibacterium sp000437715	2694031.0	5.0	1516715.0	1516715.0	99.53	0.47	HIGH	False	MEDIUM	127	8	0.2189729901445	Uncultivated
9	SPMP01_bin.3	Dorea	Dorea faecis	2731654.0	203.0	18245.0	69928.0	92.3	3.14	HIGH	False	MEDIUM	63	2	0.4480773670143324	Isolate
10	SPMP01_bin.30	Eggerthella	Eggerthella lenta	2526417.0	186.0	18933.0	97147.0	62.77	0.81	MEDIUM	False	MEDIUM	27	24	0.1792247810480794	Isolate
11	SPMP01_bin.31	Ruminococcus_B	Ruminococcus_B gnavus	1890003.0	32.0	107803.0	264127.0	76.9	0.58	MEDIUM	False	MEDIUM	92	21	0.1856099460045685	Isolate
12	SPMP01_bin.32	Enterococcus_B	Enterococcus_B faecium	1671243.0	47.0	62932.0	159563.0	70.76	0.12	MEDIUM	False	MEDIUM	621	0		Isolate
